accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
68.10,1.41,89.10,4.56,52.37,5.58,65.68,4.37,57.01,2.03,90.56,4.48,69.87,1.22,238,285,215,30,0.0625,2,0.03125
67.71,1.06,88.38,4.43,52.02,5.09,65.24,3.94,56.74,2.19,89.86,4.46,69.49,1.94,236,284,216,32,0.0625,2,0.0625
62.88,4.04,95.22,3.36,48.31,5.19,63.86,4.36,45.36,7.86,94.81,2.86,60.88,7.21,255,228,272,13,0.0625,2,0.125
61.97,5.45,93.11,4.78,47.88,7.36,62.76,6.63,45.73,5.97,92.86,4.14,60.87,4.65,249,227,273,19,0.0625,2,0.25
63.53,4.52,88.59,6.19,49.08,6.97,62.58,5.39,50.68,7.12,89.33,4.93,64.13,4.74,236,252,248,32,0.0625,2,0.5
66.53,3.06,81.76,1.88,51.24,6.87,62.69,5.58,58.50,3.57,85.56,3.19,69.39,2.64,219,292,208,49,0.0625,2,1
67.57,3.85,72.25,8.33,53.53,8.22,60.49,4.45,66.05,7.94,81.56,5.88,72.38,3.73,191,328,172,77,0.0625,2,2
68.62,1.37,73.26,3.63,53.52,5.55,61.60,3.83,66.14,3.20,82.03,4.23,73.15,2.68,196,331,169,72,0.0625,2,4
61.45,4.03,94.24,3.79,47.37,6.57,62.68,5.82,44.17,4.02,93.57,3.95,59.79,3.08,252,220,280,16,0.0625,4,0.03125
60.53,5.71,93.89,4.41,46.94,7.39,62.11,6.68,43.15,6.15,93.24,4.31,58.56,5.20,251,214,286,17,0.0625,4,0.0625
55.59,7.06,96.97,2.22,43.93,5.42,60.24,5.00,32.98,12.62,95.24,2.26,47.58,14.64,260,167,333,8,0.0625,4,0.125
58.19,5.80,94.70,4.67,45.48,6.98,60.97,6.31,39.09,7.13,93.73,4.67,54.56,6.35,253,194,306,15,0.0625,4,0.25
61.31,5.68,85.96,5.35,47.51,7.51,60.56,6.04,48.80,7.99,86.66,4.70,61.82,5.95,229,242,258,39,0.0625,4,0.5
63.67,1.91,79.87,4.85,48.43,6.43,60.10,6.01,54.75,2.36,83.81,3.15,66.17,1.63,215,274,226,53,0.0625,4,1
68.49,1.44,75.85,6.14,53.07,4.39,62.25,3.92,64.44,2.81,83.23,4.64,72.56,2.66,203,323,177,65,0.0625,4,2
68.48,3.16,73.29,6.46,53.88,7.26,61.50,4.80,66.37,5.69,82.09,5.20,73.12,3.28,195,331,169,73,0.0625,4,4
55.32,4.40,96.66,1.98,43.61,5.86,59.84,5.70,33.16,5.48,95.02,2.64,48.85,6.17,259,166,334,9,0.0625,8,0.03125
56.36,6.32,95.59,1.75,44.36,7.32,60.21,6.96,35.69,6.24,93.75,2.19,51.36,6.39,256,177,323,12,0.0625,8,0.0625
51.17,6.73,97.64,2.72,41.50,3.86,58.11,3.71,25.41,14.21,95.83,4.38,38.08,17.36,262,131,369,6,0.0625,8,0.125
55.71,8.13,93.77,2.83,44.10,8.01,59.49,7.81,35.95,7.67,91.66,3.35,51.05,8.55,251,177,323,17,0.0625,8,0.25
59.23,4.58,85.63,1.92,45.53,7.14,59.15,6.68,45.13,4.55,85.50,1.83,58.94,3.83,230,225,275,38,0.0625,8,0.5
63.80,2.75,80.01,1.70,48.76,5.40,60.36,4.29,55.07,4.70,83.32,4.58,66.24,4.47,214,276,224,54,0.0625,8,1
64.45,2.36,77.78,4.78,49.15,6.67,59.98,5.91,57.25,2.03,83.01,3.24,67.68,0.50,209,286,214,59,0.0625,8,2
67.71,2.81,73.23,4.69,52.82,6.82,60.93,4.67,64.80,6.14,81.81,3.83,72.09,3.78,196,324,176,72,0.0625,8,4
54.01,9.45,94.96,3.06,43.44,8.58,59.00,8.10,32.82,11.37,92.76,2.87,47.16,12.64,254,161,339,14,0.0625,16,0.03125
56.10,6.68,95.96,3.33,44.23,6.88,60.18,6.45,34.90,9.34,94.42,3.54,50.09,10.77,257,174,326,11,0.0625,16,0.0625
48.69,5.53,97.49,2.42,40.23,4.98,56.78,5.18,21.86,11.59,95.99,3.36,34.05,14.66,262,112,388,6,0.0625,16,0.125
54.55,3.98,88.95,2.50,42.65,6.07,57.42,5.98,35.93,5.32,86.05,1.89,50.47,5.07,239,180,320,29,0.0625,16,0.25
56.50,5.16,85.27,3.32,43.81,6.97,57.50,6.30,41.42,5.03,83.73,4.73,55.22,4.73,228,206,294,40,0.0625,16,0.5
60.26,8.17,81.07,4.48,46.45,9.82,58.66,9.29,49.02,9.92,82.83,3.67,61.20,8.73,219,244,256,49,0.0625,16,1
68.23,2.34,73.38,6.44,53.46,7.30,61.29,4.63,65.34,7.40,82.24,3.46,72.51,3.93,197,327,173,71,0.0625,16,2
67.71,2.68,74.34,2.10,52.53,5.13,61.36,3.45,63.99,5.34,82.00,4.22,71.80,4.52,199,321,179,69,0.0625,16,4
76.18,3.77,62.22,8.28,67.67,5.34,64.26,3.81,84.21,2.92,80.24,6.41,82.02,3.55,164,421,79,104,0.125,0.0625,0.03125
75.92,4.16,61.05,7.96,67.59,5.58,63.62,3.99,84.37,3.31,79.79,6.47,81.87,3.92,161,422,78,107,0.125,0.0625,0.0625
77.09,4.13,60.82,8.77,70.24,3.36,64.69,4.20,86.36,2.03,80.03,6.52,82.94,3.70,160,432,68,108,0.125,0.0625,0.125
75.92,4.34,47.91,7.72,74.44,2.36,57.80,5.38,91.15,2.38,76.42,5.77,83.00,3.57,127,456,44,141,0.125,0.0625,0.25
76.57,4.14,47.71,4.70,76.92,5.39,58.63,3.15,92.38,1.91,76.44,5.56,83.56,3.55,126,462,38,142,0.125,0.0625,0.5
76.70,3.59,49.54,3.20,75.45,4.82,59.64,2.25,91.32,2.42,76.94,4.88,83.45,3.41,132,457,43,136,0.125,0.0625,1
74.75,3.78,46.77,3.86,71.82,7.16,56.27,1.53,89.96,3.19,75.68,5.24,82.10,3.51,124,450,50,144,0.125,0.0625,2
69.40,4.98,40.51,10.50,58.72,9.65,47.20,9.41,85.37,2.80,72.83,6.46,78.39,3.52,107,426,74,161,0.125,0.0625,4
75.14,4.53,63.56,9.58,65.22,4.40,63.80,4.07,81.92,3.77,80.25,7.17,80.92,4.42,167,410,90,101,0.125,0.125,0.03125
75.40,4.46,63.19,9.41,65.80,3.99,63.92,3.95,82.52,3.40,80.20,7.07,81.20,4.31,166,413,87,102,0.125,0.125,0.0625
76.18,5.45,62.53,9.79,67.78,3.96,64.57,4.99,84.03,4.02,80.12,7.38,81.91,5.07,164,421,79,104,0.125,0.125,0.125
77.09,4.11,54.40,6.89,73.77,4.14,62.22,3.64,89.81,1.50,78.23,6.11,83.49,3.51,143,449,51,125,0.125,0.125,0.25
77.87,3.45,56.15,8.11,74.85,4.51,63.63,3.74,90.01,1.99,78.95,5.77,83.99,3.06,148,450,50,120,0.125,0.125,0.5
77.61,3.44,55.43,5.14,74.50,5.20,63.20,2.06,89.74,3.01,78.68,5.21,83.76,3.38,147,449,51,121,0.125,0.125,1
72.66,4.60,48.26,6.99,64.83,7.09,54.87,5.44,86.25,2.42,75.42,6.36,80.32,3.82,127,431,69,141,0.125,0.125,2
70.97,5.68,51.41,10.72,59.44,8.43,54.64,8.89,81.87,2.46,75.82,7.20,78.56,4.37,136,409,91,132,0.125,0.125,4
75.27,3.05,66.35,7.61,64.42,4.34,64.89,2.19,80.61,2.30,81.27,6.24,80.80,3.16,175,403,97,93,0.125,0.25,0.03125
76.05,4.21,65.47,6.53,66.03,2.00,65.53,2.86,82.04,2.65,81.06,6.08,81.49,4.14,173,411,89,95,0.125,0.25,0.0625
76.45,5.08,63.13,8.48,68.12,4.44,65.11,3.98,84.03,4.49,80.36,6.83,82.05,4.93,166,421,79,102,0.125,0.25,0.125
76.44,4.34,64.74,6.42,67.27,4.12,65.67,2.50,83.05,4.00,80.92,6.15,81.89,4.45,171,416,84,97,0.125,0.25,0.25
77.22,3.92,63.58,7.35,69.35,3.07,65.95,2.66,84.85,3.69,80.83,5.88,82.70,4.01,168,425,75,100,0.125,0.25,0.5
75.40,3.50,60.34,5.78,66.36,5.78,62.88,3.64,83.78,2.71,79.44,5.49,81.46,3.42,160,419,81,108,0.125,0.25,1
70.97,2.20,51.99,4.33,59.66,8.64,55.19,4.89,81.01,4.42,75.90,3.89,78.27,2.85,140,405,95,128,0.125,0.25,2
70.05,3.83,57.56,8.05,56.98,7.39,56.82,5.97,77.05,3.09,77.09,6.04,76.92,3.33,153,385,115,115,0.125,0.25,4
75.53,4.07,74.11,7.35,62.90,2.87,67.76,2.29,76.58,4.50,83.99,6.29,80.04,4.72,196,384,116,72,0.125,0.5,0.03125
75.66,4.22,73.39,7.82,63.31,2.59,67.67,2.49,77.16,4.76,83.73,6.39,80.23,4.84,194,387,113,74,0.125,0.5,0.0625
75.92,4.85,73.08,7.97,63.86,2.51,67.89,3.17,77.72,5.11,83.60,6.65,80.48,5.32,193,390,110,75,0.125,0.5,0.125
74.62,3.68,73.73,4.54,61.46,2.61,66.87,0.78,75.13,4.76,83.65,5.24,79.11,4.60,196,377,123,72,0.125,0.5,0.25
